Time,Sphere 1,Sphere 2,Sphere 3,Sphere 4,Sphere 5
1,28,27,21,25,26
2,88,73,28,63,86
3,70,71,28,86,90
4,21,22,30,21,29
5,64,88,61,61,87
6,25,72,64,78,89
7,20,87,76,82,65
8,26,27,25,28,28
9,25,84,66,64,88
10,24,61,83,61,64
11,61,74,62,81,85
12,24,27,23,26,20
13,22,74,29,90,22
14,22,89,24,89,26
15,63,26,77,22,88
16,60,80,90,69,82
17,79,71,28,74,69
18,23,21,89,29,26
19,20,75,70,90,24
20,83,71,85,79,75
21,64,26,73,60,25
22,22,26,22,22,27
23,69,69,88,71,27
24,67,88,63,87,90
25,27,20,22,24,22
26,64,28,64,64,72
27,80,78,23,76,80
28,72,27,79,71,79
29,23,27,22,25,20
30,80,83,83,64,73
31,28,20,30,28,29
32,73,27,81,66,61
33,89,73,25,82,89
34,86,29,62,70,79
35,30,24,28,26,30
36,60,65,82,85,71
37,84,20,83,23,67
38,23,87,80,86,21
39,26,79,23,85,22
40,62,24,89,24,73
41,81,74,67,65,64
42,23,25,20,21,24
43,75,22,69,79,73
44,66,89,21,71,67
45,26,26,21,30,23
46,74,75,74,61,84
47,67,23,90,80,25
48,24,63,24,78,24
49,23,64,23,61,22
50,29,65,86,24,83
51,67,63,89,88,70
52,70,22,74,25,83
53,28,72,63,65,29
54,26,86,27,85,20
55,66,21,74,26,70
56,77,88,80,74,82
57,67,63,84,60,23
58,71,61,84,73,26
59,76,70,76,87,22
60,76,78,70,82,25
61,80,67,74,86,61
62,72,27,61,30,64
63,20,90,78,64,30
64,20,87,30,85,24
65,72,28,61,23,70
66,81,64,89,72,64
67,30,29,21,20,25
68,87,30,78,71,79
69,65,86,26,70,66
70,21,26,27,30,25
71,62,69,69,69,76
72,77,26,61,25,79
73,29,64,79,87,26
74,26,63,21,85,25
75,87,28,60,22,86
76,73,60,61,70,68
77,28,26,22,23,26
78,24,89,25,83,63
79,30,82,22,30,61
80,61,28,82,80,27
81,84,70,87,68,73
82,70,22,22,29,72
83,27,84,67,60,27
84,26,66,25,84,21
85,70,72,24,21,76
86,78,89,72,90,73
87,26,25,78,68,79
88,79,61,23,77,66
89,84,73,21,22,23
90,86,60,20,63,74
91,20,30,79,87,81
92,63,64,64,78,85
93,62,63,70,61,20
94,68,63,63,76,26
95,78,82,63,62,22
96,68,70,61,78,28
97,84,74,67,61,74
98,87,21,90,81,25
99,20,30,20,26,21
100,80,60,82,86,22
101,86,70,69,69,83
102,28,29,30,29,29
103,71,23,68,61,82
104,60,67,26,80,90
105,86,20,76,73,62
106,22,24,22,23,24
107,62,73,60,89,65
108,27,22,28,20,30
109,83,29,69,76,88
110,63,83,23,79,79
111,64,30,76,68,84
112,22,23,21,26,20
113,82,64,74,71,67
114,60,21,66,24,61
115,30,71,87,77,21
116,22,84,27,68,26
117,86,24,62,21,70
118,62,75,72,65,65
119,26,29,24,27,22
120,79,26,61,83,84
121,89,77,22,83,61
122,20,28,23,30,23
123,82,78,68,75,75
124,64,30,67,88,23
125,20,72,26,74,21
126,26,63,28,67,21
127,26,72,82,24,81
128,65,67,88,67,64
129,69,29,67,27,90
130,28,90,89,69,30
131,29,90,24,80,28
132,65,27,66,21,75
133,67,77,90,86,70
134,60,73,86,81,25
135,65,88,71,75,30
136,84,80,72,77,24
137,82,61,64,88,24
138,88,88,69,70,81
139,29,21,23,22,21
140,82,88,22,89,73
141,85,61,24,61,76
142,25,30,27,27,20
143,87,87,70,60,86
144,83,26,70,28,72
145,21,65,69,71,25
146,28,78,22,87,22
147,86,26,65,29,69
148,64,79,80,85,79
149,61,89,23,27,74
150,86,28,75,27,68
151,25,30,30,23,21
152,69,90,65,27,89
153,60,62,74,64,78
154,26,60,77,85,60
155,23,74,61,64,77
156,29,24,22,28,30
157,29,66,67,82,77
158,27,82,88,61,69
159,82,64,71,86,85
160,24,82,86,65,24
161,25,24,69,30,23
162,78,86,28,61,70

